NYS PFI,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Provider Phone Number,Provider SSA County Code,Provider County Name,Ownership Type,Number of Certified Beds,Average Number of Residents per Day,Average Number of Residents per Day Footnote,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid Services,Continuing Care Retirement Community,Special Focus Status,Abuse Icon,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Long-Stay QM Rating,Long-Stay QM Rating Footnote,Short-Stay QM Rating,Short-Stay QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,RN Staffing Rating,RN Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Reported Physical Therapist Staffing Hours per Resident Per Day,Case-Mix Nurse Aide Staffing Hours per Resident per Day,Case-Mix LPN Staffing Hours per Resident per Day,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per Resident per Day,Adjusted Nurse Aide Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2 Number of Complaint Health Deficiencies,Rating Cycle 2 Health Deficiency Score,Rating Cycle 2 Number of Health Revisits,Rating Cycle 2 Health Revisit Score,Rating Cycle 2 Total Health Score,Rating Cycle 3 Standard Health Survey Date,Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 3 Number of Standard Health Deficiencies,Rating Cycle 3 Number of Complaint Health Deficiencies,Rating Cycle 3 Health Deficiency Score,Rating Cycle 3 Number of Health Revisits,Rating Cycle 3 Health Revisit Score,Rating Cycle 3 Total Health Score,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Citations from Infection Control Inspections,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date
1673,335327,BRIDGE VIEW NURSING HOME,143 10 20TH AVE,WHITESTONE,NY,11357,7189611212,590,Queens,For profit - Corporation,200,167.8,,Medicare and Medicaid,N,"BRIDGE VIEW NURSING HOME, INC.",5/16/71,N,,N,N,N,Resident,Yes,2,,2,,3,,2,,3,,2,,2,,,,2.1126,0.60192,0.45461,1.05653,3.16913,0.13957,1.90515,0.76588,0.39194,3.06297,2.28768,0.58227,0.4571,3.30884,9/22/20,0,0,0,0,0,0,0,9/27/18,10,10,0,64,1,0,64,7/19/17,9,5,4,40,1,0,40,28,1,2,0,0,0,0,0,"143 10 20TH AVE,WHITESTONE,NY,11357",2/1/21
1251,335506,BRONX CENTER FOR REHABILITATION & HEALTH CARE,1010 UNDERHILL AVE,BRONX,NY,10472,7188636700,20,Bronx,For profit - Corporation,200,187.1,,Medicare and Medicaid,N,BRONX CENTER FOR REHABILITATION AND HEALTH CARE,7/1/77,N,,N,Y,N,Both,Yes,2,,2,,5,,5,,4,,1,,1,,,,2.21656,0.92101,0.35159,1.2726,3.48915,0.10385,2.28373,0.88568,0.48396,3.65336,2.00236,0.77043,0.2863,3.05426,1/10/19,5,5,0,20,1,0,20,5/9/17,8,8,0,52,1,0,52,2/29/16,6,4,2,24,1,0,24,31.333,3,0,0,0,0,0,0,"1010 UNDERHILL AVE,BRONX,NY,10472",2/1/21
4887,335775,BRONX GARDENS REHABILITATION AND NURSING CENTER,2175 QUARRY RD,BRONX,NY,10457,7189603910,20,Bronx,For profit - Partnership,199,180.1,,Medicare and Medicaid,N,SBNH ACQUISITION LLC,5/2/94,N,,N,N,N,None,Yes,4,,3,,5,,5,,5,,2,,2,,,,2.32603,0.68816,0.83639,1.52455,3.85058,0.02625,2.14962,1.01485,0.73226,3.89672,2.23234,0.50238,0.45013,3.16012,9/30/20,2,1,1,8,1,0,8,8/16/18,3,3,0,28,1,0,28,1/26/17,5,5,0,20,1,0,20,16.667,0,1,1,0,0,0,0,"2175 QUARRY RD,BRONX,NY,10457",2/1/21
1246,335358,BRONX PARK REHABILITATION & NURSING CENTER,3845 CARPENTER AVE,BRONX,NY,10467,7187981100,20,Bronx,For profit - Corporation,240,200.3,,Medicare and Medicaid,N,WHITE PLAINS NURSING HOME INC,8/27/72,N,,N,N,N,Both,Yes,5,,5,,5,,4,,5,,1,,1,,,,1.85954,0.55017,0.31269,0.86285,2.72239,0.03859,2.26385,1.07615,0.60566,3.94566,1.69459,0.37876,0.20346,2.20652,8/29/19,0,0,0,0,0,0,0,9/28/17,2,2,0,8,1,0,8,7/8/16,3,3,0,12,1,0,12,4.667,1,0,0,0,0,0,0,"3845 CARPENTER AVE,BRONX,NY,10467",2/1/21
4501,335753,BRONXCARE SPECIAL CARE CENTER,1265 FULTON AVENUE,BRONX,NY,10456,7185797000,20,Bronx,Non profit - Corporation,240,224.5,,Medicare and Medicaid,N,BRONXCARE SPECIAL CARE CENTER,9/13/91,N,,N,N,N,Both,Yes,4,,4,,2,,2,,2,,,12,,12,,,2.09565,0.53727,0.48469,1.02196,3.11762,0.0572,1.91137,0.75589,0.38808,3.05534,2.26194,0.5266,0.4922,3.26318,10/28/20,3,2,0,12,1,0,12,11/30/18,0,0,0,0,0,0,0,2/3/17,2,2,0,12,1,0,12,8,0,0,1,0,0,0,0,"1265 FULTON AVENUE,BRONX,NY,10456",2/1/21
1703,335582,BROOKHAVEN REHAB & HEALTH CARE CENTER L L C,250 BEACH 17TH STREET,FAR ROCKAWAY,NY,11691,7184717500,590,Queens,For profit - Corporation,298,254.5,,Medicare and Medicaid,N,BROOKHAVEN REHABILITATION AND HEALTH CARE CENTER LLC,1/1/77,N,,N,N,N,Resident,Yes,3,,3,,4,,5,,2,,2,,3,,,,1.92864,0.26878,0.74267,1.01144,2.94009,0.0553,1.97435,0.82706,0.4671,3.2685,2.01527,0.24077,0.62658,2.87666,6/4/19,4,4,0,16,1,0,16,1/3/18,3,3,0,16,1,0,16,9/26/16,3,3,0,16,1,0,16,16,1,0,0,0,0,0,0,"250 BEACH 17TH STREET,FAR ROCKAWAY,NY,11691",2/1/21
1395,335178,BROOKLYN CTR FOR REHAB AND RESIDENTIAL HEALTH CARE,170 BUFFALO AVENUE,BROOKLYN,NY,11213,7182529800,331,Kings,For profit - Partnership,215,113.3,,Medicare and Medicaid,N,Legal Business Name Not Available,1/1/67,N,,N,N,N,Resident,Yes,4,,3,,5,,5,,4,,3,,3,,,,2.99417,0.99173,0.82257,1.8143,4.80847,0.15408,2.1193,0.96304,0.52691,3.60925,2.91467,0.76295,0.61521,4.26056,3/14/19,6,6,0,32,1,0,32,5/8/17,2,2,0,0,1,0,0,2/22/16,4,4,0,16,1,0,16,18.667,0,0,0,0,0,0,0,"170 BUFFALO AVENUE,BROOKLYN,NY,11213",2/1/21
7069,335070,BROOKLYN GARDENS NURSING & REHABILITATION CENTER,835 HERKIMER STREET,BROOKLYN,NY,11233,7182212600,331,Kings,Non profit - Corporation,240,202.7,,Medicare and Medicaid,N,PROVIDENCE CARE INC,1/1/67,N,,N,N,N,Both,Yes,3,,3,,4,,5,,3,,2,,2,,,,2.35701,0.91654,0.51328,1.42982,3.78683,0.0649,2.10303,0.85329,0.50208,3.4584,2.31218,0.79579,0.40288,3.50169,11/9/20,4,4,0,16,1,0,16,10/11/18,7,7,0,32,1,0,32,5/26/17,2,1,1,8,1,0,8,20,3,0,0,0,0,0,0,"835 HERKIMER STREET,BROOKLYN,NY,11233",2/1/21
277,335637,BROOKLYN QUEENS NURSING HOME,2749 LINDEN BLVD,BROOKLYN,NY,11208,7182775100,331,Kings,For profit - Corporation,140,131.3,,Medicare and Medicaid,N,BROOKLYN QUEENS NURSING HOME INC,2/1/80,N,,N,N,N,Resident,Yes,1,,2,,4,,5,,3,,1,,1,,,,1.98376,0.60738,0.33206,0.93944,2.92319,0.10909,2.09663,0.97336,0.56724,3.63723,1.95197,0.4623,0.2307,2.57018,9/13/19,9,9,0,44,1,0,44,2/15/18,1,1,0,4,1,0,4,10/7/16,6,6,0,32,1,0,32,28.667,0,0,0,0,0,0,0,"2749 LINDEN BLVD,BROOKLYN,NY,11208",2/1/21
1368,335604,BROOKLYN UNITED METHODIST CHURCH HOME,1485 DUMONT AVENUE,BROOKLYN,NY,11208,7188274500,331,Kings,Non profit - Corporation,120,94.6,,Medicare and Medicaid,N,BROOKLYN UNITED METHODIST CHURCH HOME,8/1/77,N,,N,N,N,Resident,Yes,5,,4,,5,,4,,5,,2,,2,,,,2.11405,0.65022,0.52738,1.1776,3.29166,0.05869,2.08768,0.75748,0.45916,3.30432,2.0891,0.63597,0.45264,3.18574,6/13/19,3,2,1,12,1,0,12,7/28/17,1,1,0,4,1,0,4,5/2/16,2,0,2,16,0,0,16,10,0,3,1,0,0,0,0,"1485 DUMONT AVENUE,BROOKLYN,NY,11208",2/1/21
6248,335826,BUENA VIDA REHAB AND NURSING CENTER,48 CEDAR STREET,BROOKLYN,NY,11221,7184556200,331,Kings,Non profit - Corporation,240,195.2,,Medicare and Medicaid,N,BUENA VIDA SNF LLC,3/9/01,N,,N,N,N,Both,Yes,4,,4,,5,,5,,5,,1,,1,,,,2.07714,0.76614,0.38267,1.14881,3.22595,0.08141,2.1304,0.88556,0.5168,3.53276,2.01146,0.64097,0.2918,2.92026,5/13/19,5,5,0,24,1,0,24,8/11/17,1,0,1,4,0,0,4,5/20/16,1,1,0,4,1,0,4,14,1,0,0,0,0,0,0,"48 CEDAR STREET,BROOKLYN,NY,11221",2/1/21
4037,335703,BUSHWICK CENTER FOR REHABILITATION AND HEALTH CARE,50 SHEFFIELD AVENUE,BROOKLYN,NY,11207,7183452273,331,Kings,For profit - Corporation,225,217.6,,Medicare and Medicaid,N,WARTBURG RECEIVER LLC,1/1/89,N,,N,Y,N,Resident,Yes,2,,2,,4,,5,,2,,2,,2,,,,2.53134,0.86104,0.65772,1.51876,4.0501,0.28817,2.2081,0.99272,0.56934,3.77016,2.36504,0.6426,0.45526,3.43545,1/18/19,3,2,1,28,1,0,28,3/8/17,6,6,0,28,1,0,28,1/22/16,3,3,0,12,1,0,12,25.333,0,0,1,0,0,0,0,"50 SHEFFIELD AVENUE,BROOKLYN,NY,11207",2/1/21
3948,335165,CARING FAMILY NURSING AND REHABILITATION CENTER,22-41 NEW HAVEN AVENUE,FAR ROCKAWAY,NY,11691,7184713400,590,Queens,For profit - Individual,183,152.3,,Medicare and Medicaid,N,NEW SURFSIDE NURSING HOME LLC,1/1/67,N,,N,Y,N,Resident,Yes,4,,4,,4,,4,,,2,2,,3,,,,1.66539,0.26491,0.56489,0.8298,2.49519,0.04054,1.92254,0.77943,0.4318,3.13378,1.78709,0.2518,0.51555,2.54632,12/21/18,5,5,0,16,1,0,16,3/13/17,3,3,0,12,1,0,12,1/29/16,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,"22-41 NEW HAVEN AVENUE,FAR ROCKAWAY,NY,11691",2/1/21
1755,335455,CARMEL RICHMOND HEALTHCARE AND REHAB CENTER,88 OLD TOWN ROAD,STATEN ISLAND,NY,10304,7189795000,610,Richmond,Non profit - Corporation,300,246.9,,Medicare and Medicaid,N,CARMEL RICHMOND NURSING HOME INC,1/1/76,N,,N,N,N,Both,Yes,5,,4,,5,,5,,5,,2,,2,,,,2.11283,0.48944,0.59398,1.08341,3.19624,0.06155,2.23212,0.82803,0.50786,3.568,1.95278,0.43792,0.46091,2.86478,10/9/19,3,2,0,16,1,0,16,2/27/18,0,0,0,0,0,0,0,10/17/16,1,1,0,4,1,0,4,8.667,0,0,1,0,0,0,0,"88 OLD TOWN ROAD,STATEN ISLAND,NY,10304",2/1/21
5567,335780,CASA PROMESA,308 EAST 175 STREET,BRONX,NY,10457,7189607603,20,Bronx,Non profit - Corporation,108,85.5,,Medicare and Medicaid,N,"PROMESA RESIDENTIAL HEALTH CARE FACILITY, INC.",3/17/95,N,SFF Candidate,N,N,N,Resident,Yes,2,,1,,4,,4,,,2,4,,3,,,,2.19069,1.03839,0.43682,1.47521,3.6659,0.00922,1.43369,0.59362,0.28394,2.31126,3.15234,1.29598,0.60626,5.07237,11/26/19,9,6,3,177,2,89,266,3/7/18,0,0,0,0,0,0,0,10/17/16,1,1,0,4,1,0,4,133.667,1,0,3,1,13484,0,1,"308 EAST 175 STREET,BRONX,NY,10457",2/1/21
1380,335245,"CATON PARK REHAB AND NURSING CENTER, L L C",1312 CATON AVENUE,BROOKLYN,NY,11226,7186937000,331,Kings,For profit - Individual,119,93.6,,Medicare and Medicaid,N,CATON PARK REHABILITATION AND NURSING,8/21/68,N,,N,N,N,Resident,Yes,5,,5,,3,,5,,1,,2,,2,,,,2.20313,0.7159,0.53114,1.24704,3.45017,0.1124,2.14195,0.85676,0.4694,3.46812,2.12195,0.61907,0.44591,3.18144,12/6/19,1,1,0,4,1,0,4,3/28/18,1,1,0,4,1,0,4,10/31/16,0,0,0,0,0,0,0,3.333,0,0,0,0,0,0,0,"1312 CATON AVENUE,BROOKLYN,NY,11226",2/1/21
1715,335631,CHAPIN HOME FOR THE AGING,165 01 CHAPIN PARKWAY,JAMAICA,NY,11432,7187392523,590,Queens,Non profit - Corporation,220,121.5,,Medicare and Medicaid,N,CHAPIN HOME FOR THE AGING,2/1/79,N,,N,N,N,Resident,Yes,4,,3,,3,,4,,3,,4,,4,,,,2.79594,0.53433,0.99761,1.53194,4.32788,0.06797,2.09021,0.75717,0.42394,3.27132,2.75959,0.52284,0.92735,4.23088,10/1/19,8,6,2,32,1,0,32,5/1/18,1,0,1,4,0,0,4,11/2/16,0,0,0,0,0,0,0,17.333,1,1,2,0,0,0,0,"165 01 CHAPIN PARKWAY,JAMAICA,NY,11432",2/1/21
1676,335349,CLIFFSIDE REHAB & RESIDENTIAL HEALTH CARE CENTER,119 - 19 GRAHAM COURT,FLUSHING,NY,11354,7188860700,590,Queens,For profit - Corporation,218,168.3,,Medicare and Medicaid,N,CLIFFSIDE NURSING HOME INC,12/1/74,N,,N,N,N,Resident,Yes,5,,5,,3,,4,,3,,3,,3,,,,2.66623,1.15964,0.92076,2.0804,4.74663,0.09023,2.2549,0.85663,0.71297,3.8245,2.43936,1.00295,0.50894,3.96907,10/9/20,0,0,0,0,0,0,0,11/9/18,0,0,0,0,0,0,0,1/31/17,3,3,0,20,1,0,20,3.333,0,0,0,0,0,0,0,"119 - 19 GRAHAM COURT,FLUSHING,NY,11354",2/1/21
1750,335239,"CLOVE LAKES HEALTH CARE AND REHAB CENTER, INC",25 FANNING STREET,STATEN ISLAND,NY,10314,7182897900,610,Richmond,For profit - Corporation,576,303.5,,Medicare and Medicaid,N,CLOVE LAKES HEALTH CARE AND REHABILITATION CENTER INC.,6/25/69,N,,N,N,N,Both,Yes,5,,4,,5,,5,,4,,4,,4,,,,2.67525,0.7346,1.03136,1.76596,4.44121,0.11411,2.22209,0.8781,0.50087,3.60106,2.48376,0.6198,0.81147,3.94411,1/23/20,5,5,0,24,1,0,24,4/23/18,0,0,0,0,0,0,0,12/12/16,2,2,0,8,1,0,8,13.333,0,0,0,0,0,0,0,"25 FANNING STREET,STATEN ISLAND,NY,10314",2/1/21
1381,335174,COBBLE HILL HEALTH CENTER INC,380 HENRY STREET,BROOKLYN,NY,11201,7188556789,331,Kings,Non profit - Corporation,364,257,,Medicare and Medicaid,N,COBBLE HILL HEALTH CENTER INC.,1/1/67,N,,N,N,N,Resident,Yes,3,,2,,5,,5,,5,,2,,2,,,,2.59988,0.50609,0.65243,1.15852,3.7584,0.04422,2.05126,0.87128,0.50729,3.42983,2.6148,0.43035,0.50684,3.50436,5/14/19,11,11,0,56,1,0,56,7/28/17,1,0,1,4,0,0,4,4/29/16,1,1,0,8,1,0,8,30.667,1,0,0,0,0,0,0,"380 HENRY STREET,BROOKLYN,NY,11201",2/1/21
1600,335063,COLER REHABILITATION AND NURSING CARE CENTER,900 MAIN ST,ROOSEVELT ISLAND,NY,10044,2128486000,420,New York,Government - City,815,505,,Medicare and Medicaid,N,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,7/1/70,N,,N,N,N,Both,Yes,4,,2,,5,,5,,4,,5,,5,,,,2.89692,0.58971,1.01755,1.60726,4.50419,0.0436,2.06805,0.73997,0.37561,3.18364,2.8899,0.59043,1.06759,4.5245,11/20/19,10,7,2,52,1,0,52,2/28/18,3,3,0,12,1,0,12,11/23/16,0,0,0,0,0,0,0,30,0,2,3,0,0,0,0,"900 MAIN ST,ROOSEVELT ISLAND,NY,10044",2/1/21
1404,335538,CONCORD NURSING AND REHABILITATION CENTER,300 MADISON STREET,BROOKLYN,NY,11216,7186367500,331,Kings,Non profit - Corporation,140,130.4,,Medicare and Medicaid,N,"CONCORD NURSING HOME, INC.",7/1/76,N,,N,N,N,Both,Yes,2,,1,,5,,5,,5,,2,,2,,,,1.94431,0.73127,0.68084,1.4121,3.35641,0.12557,2.20911,0.96602,0.76681,3.94194,1.81574,0.56083,0.3499,2.72297,10/21/19,8,6,4,40,1,0,40,8/16/18,8,8,0,64,1,0,64,1/27/17,0,0,0,0,0,0,0,41.333,1,2,2,0,0,0,0,"300 MADISON STREET,BROOKLYN,NY,11216",2/1/21
