Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Role played by Owner or Manager in Facility,Owner Type,Owner Name,Ownership Percentage,Association Date,Location,Processing Date
105001,LAKE EUSTIS HEALTH AND REHABILITATION CENTER,411 W WOODWARD AVE,EUSTIS,FL,32726,OFFICER,Individual,"WOLF, SHERYL",NOT APPLICABLE,since 09/01/2015,"411 W WOODWARD AVE,EUSTIS,FL,32726",44228
105001,LAKE EUSTIS HEALTH AND REHABILITATION CENTER,411 W WOODWARD AVE,EUSTIS,FL,32726,MANAGING EMPLOYEE,Individual,"TYLER, BRITTNEY",NOT APPLICABLE,since 06/13/2019,"411 W WOODWARD AVE,EUSTIS,FL,32726",44228
105002,SANDALWOOD REHABILITATION AND NURSING CENTER,1001 S BEACH STREET,DAYTONA BEACH,FL,32114,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,"SANDALWOOD HOLDINGS, LLC",1,since 01/10/2017,"1001 S BEACH STREET,DAYTONA BEACH,FL,32114",44228
105002,SANDALWOOD REHABILITATION AND NURSING CENTER,1001 S BEACH STREET,DAYTONA BEACH,FL,32114,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"BOBKER, MOSHE",0.07,since 01/10/2017,"1001 S BEACH STREET,DAYTONA BEACH,FL,32114",44228
105002,SANDALWOOD REHABILITATION AND NURSING CENTER,1001 S BEACH STREET,DAYTONA BEACH,FL,32114,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"FUCHS, TOVA",0.1,since 01/10/2017,"1001 S BEACH STREET,DAYTONA BEACH,FL,32114",44228
105002,SANDALWOOD REHABILITATION AND NURSING CENTER,1001 S BEACH STREET,DAYTONA BEACH,FL,32114,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"LESSER, DAVID",0.15,since 01/10/2017,"1001 S BEACH STREET,DAYTONA BEACH,FL,32114",44228
105002,SANDALWOOD REHABILITATION AND NURSING CENTER,1001 S BEACH STREET,DAYTONA BEACH,FL,32114,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"MANN, BAILA",0.1,since 01/10/2017,"1001 S BEACH STREET,DAYTONA BEACH,FL,32114",44228
105002,SANDALWOOD REHABILITATION AND NURSING CENTER,1001 S BEACH STREET,DAYTONA BEACH,FL,32114,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"TAUB, JACOB",0.15,since 01/10/2017,"1001 S BEACH STREET,DAYTONA BEACH,FL,32114",44228
105002,SANDALWOOD REHABILITATION AND NURSING CENTER,1001 S BEACH STREET,DAYTONA BEACH,FL,32114,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"TAUB, MIRIAM",0.43,since 01/10/2017,"1001 S BEACH STREET,DAYTONA BEACH,FL,32114",44228
105002,SANDALWOOD REHABILITATION AND NURSING CENTER,1001 S BEACH STREET,DAYTONA BEACH,FL,32114,OPERATIONAL/MANAGERIAL CONTROL,Individual,"DAUGHTERS, CINDY",NOT APPLICABLE,since 04/01/2017,"1001 S BEACH STREET,DAYTONA BEACH,FL,32114",44228
105002,SANDALWOOD REHABILITATION AND NURSING CENTER,1001 S BEACH STREET,DAYTONA BEACH,FL,32114,MANAGING EMPLOYEE,Individual,"DAUGHTERS, CINDY",NOT APPLICABLE,since 04/01/2017,"1001 S BEACH STREET,DAYTONA BEACH,FL,32114",44228
105005,CORAL GABLES NURSING AND REHABILITATION CENTER,7060 SW 8TH STREET,MIAMI,FL,33144,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,CORAL GABLES HOLDINGS LLC,NO PERCENTAGE PROVIDED,since 09/11/2007,"7060 SW 8TH STREET,MIAMI,FL,33144",44228
105005,CORAL GABLES NURSING AND REHABILITATION CENTER,7060 SW 8TH STREET,MIAMI,FL,33144,5% OR GREATER DIRECT OWNERSHIP INTEREST,Individual,"STROHLI, ELI",NO PERCENTAGE PROVIDED,since 09/11/2007,"7060 SW 8TH STREET,MIAMI,FL,33144",44228
105005,CORAL GABLES NURSING AND REHABILITATION CENTER,7060 SW 8TH STREET,MIAMI,FL,33144,MANAGING EMPLOYEE,Individual,"STEINMEYER, JON",NOT APPLICABLE,since 12/01/2013,"7060 SW 8TH STREET,MIAMI,FL,33144",44228
105008,ARCH PLAZA NURSING & REHABILITATION CENTER,12505 NE 16TH AVE,NORTH MIAMI,FL,33161,OPERATIONAL/MANAGERIAL CONTROL,Organization,HEBREW HOMES HEALTH NETWORK INC,NOT APPLICABLE,since 01/01/2002,"12505 NE 16TH AVE,NORTH MIAMI,FL,33161",44228
105008,ARCH PLAZA NURSING & REHABILITATION CENTER,12505 NE 16TH AVE,NORTH MIAMI,FL,33161,DIRECTOR,Individual,"GALBUT, RUSSELL",NOT APPLICABLE,since 01/01/2002,"12505 NE 16TH AVE,NORTH MIAMI,FL,33161",44228
105008,ARCH PLAZA NURSING & REHABILITATION CENTER,12505 NE 16TH AVE,NORTH MIAMI,FL,33161,DIRECTOR,Individual,"WASSERMAN, MARTIN",NOT APPLICABLE,since 01/02/2012,"12505 NE 16TH AVE,NORTH MIAMI,FL,33161",44228
105008,ARCH PLAZA NURSING & REHABILITATION CENTER,12505 NE 16TH AVE,NORTH MIAMI,FL,33161,OFFICER,Individual,"BLOOM, ELAINE",NOT APPLICABLE,since 03/23/2015,"12505 NE 16TH AVE,NORTH MIAMI,FL,33161",44228
105008,ARCH PLAZA NURSING & REHABILITATION CENTER,12505 NE 16TH AVE,NORTH MIAMI,FL,33161,MANAGING EMPLOYEE,Individual,"PENA, STEPHANIE",NOT APPLICABLE,since 04/01/2019,"12505 NE 16TH AVE,NORTH MIAMI,FL,33161",44228
105009,GOLFCREST HEALTHCARE CENTER,600 NORTH 17TH AVE,HOLLYWOOD,FL,33020,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,LP O HOLDINGS II LLC,1,since 11/01/2007,"600 NORTH 17TH AVE,HOLLYWOOD,FL,33020",44228
105009,GOLFCREST HEALTHCARE CENTER,600 NORTH 17TH AVE,HOLLYWOOD,FL,33020,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"AGEMO HOLDINGS, LLC",NO PERCENTAGE PROVIDED,since 11/01/2007,"600 NORTH 17TH AVE,HOLLYWOOD,FL,33020",44228
105009,GOLFCREST HEALTHCARE CENTER,600 NORTH 17TH AVE,HOLLYWOOD,FL,33020,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,JJLA LLC,NO PERCENTAGE PROVIDED,since 11/01/2007,"600 NORTH 17TH AVE,HOLLYWOOD,FL,33020",44228
105009,GOLFCREST HEALTHCARE CENTER,600 NORTH 17TH AVE,HOLLYWOOD,FL,33020,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"LPSNF II, LLC",NO PERCENTAGE PROVIDED,since 11/01/2007,"600 NORTH 17TH AVE,HOLLYWOOD,FL,33020",44228
105009,GOLFCREST HEALTHCARE CENTER,600 NORTH 17TH AVE,HOLLYWOOD,FL,33020,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,WHEATEN LLC,NO PERCENTAGE PROVIDED,since 11/01/2007,"600 NORTH 17TH AVE,HOLLYWOOD,FL,33020",44228
105009,GOLFCREST HEALTHCARE CENTER,600 NORTH 17TH AVE,HOLLYWOOD,FL,33020,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"SMEDRA, IRA",NO PERCENTAGE PROVIDED,since 11/01/2007,"600 NORTH 17TH AVE,HOLLYWOOD,FL,33020",44228
105009,GOLFCREST HEALTHCARE CENTER,600 NORTH 17TH AVE,HOLLYWOOD,FL,33020,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"STEIER III, ELMER",NO PERCENTAGE PROVIDED,since 11/01/2007,"600 NORTH 17TH AVE,HOLLYWOOD,FL,33020",44228
105009,GOLFCREST HEALTHCARE CENTER,600 NORTH 17TH AVE,HOLLYWOOD,FL,33020,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"WINTNER, JACOB",NO PERCENTAGE PROVIDED,since 11/01/2007,"600 NORTH 17TH AVE,HOLLYWOOD,FL,33020",44228
105009,GOLFCREST HEALTHCARE CENTER,600 NORTH 17TH AVE,HOLLYWOOD,FL,33020,OPERATIONAL/MANAGERIAL CONTROL,Organization,SIGNATURE HEALTHCARE CLINICAL CONSULTING SERVICES LLC,NOT APPLICABLE,since 11/01/2007,"600 NORTH 17TH AVE,HOLLYWOOD,FL,33020",44228
105009,GOLFCREST HEALTHCARE CENTER,600 NORTH 17TH AVE,HOLLYWOOD,FL,33020,OPERATIONAL/MANAGERIAL CONTROL,Organization,SIGNATURE HEALTHCARE CONSULTING SERVICES LLC,NOT APPLICABLE,since 11/01/2007,"600 NORTH 17TH AVE,HOLLYWOOD,FL,33020",44228
105009,GOLFCREST HEALTHCARE CENTER,600 NORTH 17TH AVE,HOLLYWOOD,FL,33020,OPERATIONAL/MANAGERIAL CONTROL,Individual,"SIMEUS, MARIE",NOT APPLICABLE,since 07/25/2012,"600 NORTH 17TH AVE,HOLLYWOOD,FL,33020",44228
105009,GOLFCREST HEALTHCARE CENTER,600 NORTH 17TH AVE,HOLLYWOOD,FL,33020,OFFICER,Individual,"ADAMS, SANDRA",NOT APPLICABLE,since 11/01/2007,"600 NORTH 17TH AVE,HOLLYWOOD,FL,33020",44228
105009,GOLFCREST HEALTHCARE CENTER,600 NORTH 17TH AVE,HOLLYWOOD,FL,33020,OFFICER,Individual,"HARRISON, JOHN",NOT APPLICABLE,since 11/01/2007,"600 NORTH 17TH AVE,HOLLYWOOD,FL,33020",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,AUGUSTA HEALTH CARE PROPERTIES LLC,1,since 02/01/2012,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"ALG LAVIE, LLC",NO PERCENTAGE PROVIDED,since 01/21/2020,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"BENCON HOLDCO, LLC",NO PERCENTAGE PROVIDED,since 01/21/2020,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,COLUMBIA PACIFIC OPPORTUNITY FUND,NO PERCENTAGE PROVIDED,since 02/01/2012,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"FC INVESTORS XXI, LLC",NO PERCENTAGE PROVIDED,since 02/01/2012,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,FLORIDA HEALTH CARE PROPERTIES LLC,NO PERCENTAGE PROVIDED,since 02/01/2012,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GENOA HEALTHCARE GROUP LLC,NO PERCENTAGE PROVIDED,since 02/01/2012,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"LAVIE CARE CENTERS, LLC",NO PERCENTAGE PROVIDED,since 02/01/2012,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"LV INVESTMENT, LLC",NO PERCENTAGE PROVIDED,since 02/01/2012,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"LV OPERATIONS I, LLC",NO PERCENTAGE PROVIDED,since 02/01/2012,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"LV OPERATIONS II, LLC",NO PERCENTAGE PROVIDED,since 02/01/2012,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"MCP LAVIE, LLC",NO PERCENTAGE PROVIDED,since 01/21/2020,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"SALCON HOLDCO, LLC",NO PERCENTAGE PROVIDED,since 01/21/2020,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"SAY LA VIE, LLC",NO PERCENTAGE PROVIDED,since 01/21/2020,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"SENIOR CARE LAVIE, LLC",NO PERCENTAGE PROVIDED,since 01/21/2020,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"TRECON HOLDCO, LLC",NO PERCENTAGE PROVIDED,since 01/21/2020,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,OPERATIONAL/MANAGERIAL CONTROL,Organization,"CMC II, LLC",NOT APPLICABLE,since 03/01/2012,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,OPERATIONAL/MANAGERIAL CONTROL,Individual,"BRYSON, CHRISTOPHER",NOT APPLICABLE,since 09/01/2015,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,OPERATIONAL/MANAGERIAL CONTROL,Individual,"DIAS, DANIEL",NOT APPLICABLE,since 09/01/2015,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,OPERATIONAL/MANAGERIAL CONTROL,Individual,"HAYES, GREGORY",NOT APPLICABLE,since 09/01/2019,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,OPERATIONAL/MANAGERIAL CONTROL,Individual,"USSERY, KENNETH",NOT APPLICABLE,since 09/01/2015,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,OFFICER,Individual,"BRYSON, CHRISTOPHER",NOT APPLICABLE,since 12/14/2015,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,OFFICER,Individual,"DIAS, DANIEL",NOT APPLICABLE,since 12/14/2015,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,OFFICER,Individual,"HAYES, GREGORY",NOT APPLICABLE,since 09/01/2019,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,OFFICER,Individual,"USSERY, KENNETH",NOT APPLICABLE,since 12/14/2015,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105012,HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW,1820 SHORE DR S,SOUTH PASADENA,FL,33707,MANAGING EMPLOYEE,Individual,"BONSEL, BRUCE",NOT APPLICABLE,since 11/11/2020,"1820 SHORE DR S,SOUTH PASADENA,FL,33707",44228
105016,RIVER GARDEN HEBREW HOME FOR THE AGED,11401 OLD SAINT AUGUSTINE RD,JACKSONVILLE,FL,32258,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,RIVER GARDEN HEBREW HOME FOR THE AGED,NO PERCENTAGE PROVIDED,since 03/07/1966,"11401 OLD SAINT AUGUSTINE RD,JACKSONVILLE,FL,32258",44228
105016,RIVER GARDEN HEBREW HOME FOR THE AGED,11401 OLD SAINT AUGUSTINE RD,JACKSONVILLE,FL,32258,OPERATIONAL/MANAGERIAL CONTROL,Organization,RIVER GARDEN HEBREW HOME FOR THE AGED,NOT APPLICABLE,since 03/07/1966,"11401 OLD SAINT AUGUSTINE RD,JACKSONVILLE,FL,32258",44228
105016,RIVER GARDEN HEBREW HOME FOR THE AGED,11401 OLD SAINT AUGUSTINE RD,JACKSONVILLE,FL,32258,OPERATIONAL/MANAGERIAL CONTROL,Individual,"RICHMAN, JAMES",NOT APPLICABLE,since 05/31/2004,"11401 OLD SAINT AUGUSTINE RD,JACKSONVILLE,FL,32258",44228
105016,RIVER GARDEN HEBREW HOME FOR THE AGED,11401 OLD SAINT AUGUSTINE RD,JACKSONVILLE,FL,32258,OPERATIONAL/MANAGERIAL CONTROL,Individual,"SORNA, BETTY",NOT APPLICABLE,since 04/10/1995,"11401 OLD SAINT AUGUSTINE RD,JACKSONVILLE,FL,32258",44228
105016,RIVER GARDEN HEBREW HOME FOR THE AGED,11401 OLD SAINT AUGUSTINE RD,JACKSONVILLE,FL,32258,OFFICER,Individual,"GOETZ, MARTIN",NOT APPLICABLE,since 01/01/1978,"11401 OLD SAINT AUGUSTINE RD,JACKSONVILLE,FL,32258",44228
105016,RIVER GARDEN HEBREW HOME FOR THE AGED,11401 OLD SAINT AUGUSTINE RD,JACKSONVILLE,FL,32258,OFFICER,Individual,"SORNA, BETTY",NOT APPLICABLE,since 04/10/1995,"11401 OLD SAINT AUGUSTINE RD,JACKSONVILLE,FL,32258",44228
105016,RIVER GARDEN HEBREW HOME FOR THE AGED,11401 OLD SAINT AUGUSTINE RD,JACKSONVILLE,FL,32258,MANAGING EMPLOYEE,Individual,"GOETZ, MARTIN",NOT APPLICABLE,since 01/01/1978,"11401 OLD SAINT AUGUSTINE RD,JACKSONVILLE,FL,32258",44228
105016,RIVER GARDEN HEBREW HOME FOR THE AGED,11401 OLD SAINT AUGUSTINE RD,JACKSONVILLE,FL,32258,5% OR GREATER MORTGAGE INTEREST,Organization,SUNTRUST BANK,NOT APPLICABLE,since 09/15/2010,"11401 OLD SAINT AUGUSTINE RD,JACKSONVILLE,FL,32258",44228
105029,COMMUNITY CONVALESCENT CENTER,2202 W OAK AVE,PLANT CITY,FL,33563,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,SENIOR HEALTH SOUTH EX LLC,1,since 03/01/2013,"2202 W OAK AVE,PLANT CITY,FL,33563",44228
105029,COMMUNITY CONVALESCENT CENTER,2202 W OAK AVE,PLANT CITY,FL,33563,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"SENIOR HEALTH PROPERTIES SOUTH, INC",1,since 03/31/2013,"2202 W OAK AVE,PLANT CITY,FL,33563",44228
105029,COMMUNITY CONVALESCENT CENTER,2202 W OAK AVE,PLANT CITY,FL,33563,DIRECTOR,Individual,"DEPIANO, RICH",NOT APPLICABLE,since 01/01/2012,"2202 W OAK AVE,PLANT CITY,FL,33563",44228
105029,COMMUNITY CONVALESCENT CENTER,2202 W OAK AVE,PLANT CITY,FL,33563,DIRECTOR,Individual,"MULLEN, ANN",NOT APPLICABLE,since 01/01/2012,"2202 W OAK AVE,PLANT CITY,FL,33563",44228
105029,COMMUNITY CONVALESCENT CENTER,2202 W OAK AVE,PLANT CITY,FL,33563,DIRECTOR,Individual,"RICHMOND, PENNY",NOT APPLICABLE,since 01/01/2012,"2202 W OAK AVE,PLANT CITY,FL,33563",44228
105029,COMMUNITY CONVALESCENT CENTER,2202 W OAK AVE,PLANT CITY,FL,33563,DIRECTOR,Individual,"SCHMOLLINGER, ADRIENNE",NOT APPLICABLE,since 01/01/2012,"2202 W OAK AVE,PLANT CITY,FL,33563",44228
105029,COMMUNITY CONVALESCENT CENTER,2202 W OAK AVE,PLANT CITY,FL,33563,OFFICER,Individual,"JAFFE, HOWARD",NOT APPLICABLE,since 01/01/2012,"2202 W OAK AVE,PLANT CITY,FL,33563",44228
105029,COMMUNITY CONVALESCENT CENTER,2202 W OAK AVE,PLANT CITY,FL,33563,MANAGING EMPLOYEE,Individual,"GIESLER, RICHARD",NOT APPLICABLE,since 07/01/2014,"2202 W OAK AVE,PLANT CITY,FL,33563",44228
105029,COMMUNITY CONVALESCENT CENTER,2202 W OAK AVE,PLANT CITY,FL,33563,MANAGING EMPLOYEE,Individual,"ROGERS, DONNA",NOT APPLICABLE,since 02/19/2019,"2202 W OAK AVE,PLANT CITY,FL,33563",44228
105030,"MIAMI JEWISH HEALTH SYSTEMS, INC",5200 NE 2ND AVENUE,MIAMI,FL,33137,OPERATIONAL/MANAGERIAL CONTROL,Individual,"LUBINSKI, MARYNELL",NOT APPLICABLE,since 02/01/2017,"5200 NE 2ND AVENUE,MIAMI,FL,33137",44228
105030,"MIAMI JEWISH HEALTH SYSTEMS, INC",5200 NE 2ND AVENUE,MIAMI,FL,33137,MANAGING EMPLOYEE,Individual,"LUBINSKI, MARYNELL",NOT APPLICABLE,since 02/01/2017,"5200 NE 2ND AVENUE,MIAMI,FL,33137",44228
105037,"PALMS OF SEBRING, THE",725 S PINE ST,SEBRING,FL,33870,OPERATIONAL/MANAGERIAL CONTROL,Organization,SENIOR LIVING SUPPORT SERVICES INC,NOT APPLICABLE,since 09/06/2018,"725 S PINE ST,SEBRING,FL,33870",44228
